thcbr,thcno,THCName,TOTDKT,actuwt,ContractRS,vehno,thcdt,routename,outacm,coming_from,actdept_dt,actdept_tm,depdate_prevbr,deptime_prevbr,DTDep,stat,FreeSpace,lastlocation,DaysFromStart
MYS,MYS_/THC/0000170,MYS : Mysore Branch,6.00,5165.0,0,KA03 4079,11 Oct 2006,MYS-BLR-YPR,0,BLR,10/11/2006 12:00:00 AM,08:00,10/11/2006,02:17,11 Oct 2006-02:17,Departed,0,BLR,276
MYS,MYS_/THC/0000130,MYS : Mysore Branch,2.00,2690.0,0,KA01B0904,11 Sep 2006,MYS-BLR-YPR,0,BLR,9/11/2006 12:00:00 AM,13:04,9/9/2006,22:00,09 Sep 2006-22:00,Departed,0,BLR,306
CJB,CJB_/THC/0000365,CJB : Coimbatore branch,4.00,24.0,0,NILNILNILN,12 May 2006,CJB-BLR-PNQ,0,BLR,5/17/2006 12:00:00 AM,12:00,5/10/2006,15:50,10 May 2006-15:50,Departed,0,BLR,428
MYS,MYS_/THC/0000172,MYS : Mysore Branch,6.00,5345.0,0,KA03 4079,12 Oct 2006,MYS-BLR-YPR,0,BLR,10/12/2006 12:00:00 AM,10:00,10/12/2006,01:10,12 Oct 2006-01:10,Departed,0,BLR,275
HSR,HSR_/THC/0000194,HSR : Hosur Branch,2.00,135.0,0,KA01B903,13 Dec 2006, HSR-BMS-BLR,,,,,12/12/2006,20:15,12 Dec 2006-20:15,Yet to Arrive,,,213
MYS,MYS_/THC/0000173,MYS : Mysore Branch,6.00,3512.0,0,KA03 4079,13 Oct 2006,MYS-BLR-YPR,0,BLR,10/13/2006 12:00:00 AM,05:30,10/13/2006,02:20,13 Oct 2006-02:20,Departed,0,BLR,274
MYS,MYS_/THC/0000134,MYS : Mysore Branch,4.00,2502.0,0,KA01B0904,13 Sep 2006,MYS-BLR-YPR,0,BLR,9/14/2006 12:00:00 AM,05:20,9/12/2006,00:15,12 Sep 2006-00:15,Departed,0,BLR,304
DEL,DEL_/THC/0701959,DEL : DELHI AIRPORT H,1.00,15.0,0,AIRLINES,14 Jul 2007, DEL-BLR,,,7/13/2007 12:00:00 AM,06:35,,,,Yet to Arrive,,,0
DEL,DEL_/THC/0701960,DEL : DELHI AIRPORT H,1.00,19.0,0,airlines,14 Jul 2007, DEL-BLR,,,7/14/2007 12:00:00 AM,08:15,,,,Yet to Arrive,,,0
MYS,MYS_/THC/0000203,MYS : Mysore Branch,2.00,120.0,0,KA01B0904,14 Nov 2006,MYS-BLR-YPR,0,BLR,11/15/2006 12:00:00 AM,07:12,11/13/2006,20:15,13 Nov 2006-20:15,Departed,0,BLR,242
MYS,MYS_/THC/0000174,MYS : Mysore Branch,9.00,6155.0,0,KA03 4079,14 Oct 2006,MYS-BLR-YPR,0,BLR,10/18/2006 12:00:00 AM,02:45,10/14/2006,02:42,14 Oct 2006-02:42,Departed,0,BLR,273
MYS,MYS_/THC/0000139,MYS : Mysore Branch,2.00,3215.0,0,KA01B0904,14 Sep 2006,MYS-BLR-YPR,0,BLR,9/14/2006 12:00:00 AM,08:35,9/14/2006,00:07,14 Sep 2006-00:07,Departed,0,BLR,303
CJB,CJB_/THC/0000401,CJB : Coimbatore branch,1.00,36.0,0,AIR THC,15 May 2006,CJB-BLR-PNQ,0,BLR,5/17/2006 12:00:00 AM,12:00,5/14/2006,15:05,14 May 2006-15:05,Departed,0,BLR,425
SLM,SLM_/THC/0000019,SLM : Salem Branch/HUB,1.00,270.0,0,TN37AC8192,15 May 2006,SLM-BLR-YPR,0,BLR,5/16/2006 12:00:00 AM,10:10,5/12/2006,3:20,12 May 2006-3:20,Departed,0,BLR,425
SLM,SLM_/THC/0000017,SLM : Salem Branch/HUB,1.00,50.0,0,KA09A3726,15 May 2006,SLM-BLR-YPR,0,BLR,5/16/2006 12:00:00 AM,10:10,4/29/2006,3:30,29 Apr 2006-3:30,Departed,0,BLR,425
MYS,MYS_/THC/0000204,MYS : Mysore Branch,5.00,617.0,0,KA01B0904,15 Nov 2006,MYS-BLR-YPR,0,BLR,11/16/2006 12:00:00 AM,04:12,11/14/2006,22:30,14 Nov 2006-22:30,Departed,0,BLR,241
HSR,HSR_/THC/0700007,HSR : Hosur Branch,9.00,1384.0,0,ka12313,16 Apr 2007, HSR-BMS-BLR,,,4/28/2007 12:00:00 AM,08:54,4/16/2007,16:40,16 Apr 2007-16:40,Yet to Arrive,,,89
CJB,CJB_/THC/0000284,CJB : Coimbatore branch,1.00,27.0,0,nillllllll,16 May 2006,CJB-BLR-PNQ,0,BLR,5/17/2006 12:00:00 AM,12:00,5/3/2006,15:50,03 May 2006-15:50,Departed,0,BLR,424
CJB,CJB_/THC/0000292,CJB : Coimbatore branch,1.00,18.0,0,NILN INLN,16 May 2006,CJB-BLR-PNQ,0,BLR,5/17/2006 12:00:00 AM,12:00,5/4/2006,15:50,04 May 2006-15:50,Departed,0,BLR,424
SLM,SLM_/THC/0000005,SLM : Salem Branch/HUB,1.00,150.0,0,KA09A3726,16 May 2006,SLM-BLR-YPR,0,BLR,5/17/2006 12:00:00 AM,12:00,5/5/2006,04:15,05 May 2006-04:15,Departed,0,BLR,424
SLM,SLM_/THC/0000012,SLM : Salem Branch/HUB,1.00,138.0,0,KA09A3726,16 May 2006,SLM-BLR-YPR,0,BLR,5/17/2006 12:00:00 AM,12:00,4/20/2006,12:50,20 Apr 2006-12:50,Departed,0,BLR,424
SLM,SLM_/THC/0000013,SLM : Salem Branch/HUB,1.00,120.0,0,KA05B7099,16 May 2006,SLM-BLR-YPR,0,BLR,5/17/2006 12:00:00 AM,12:12,4/21/2006,3:30,21 Apr 2006-3:30,Departed,0,BLR,424
